League,Country,Clubs,Player,Average_Age,Foreigners,Value,Region
Premier League,England,20,561,26.5,0.649,£8.01bn,Europe
LaLiga,Spain,20,519,27.3,0.393,£4.43bn,Europe
Serie A,Italy,20,629,26.2,0.566,£4.41bn,Europe
Bundesliga,Germany,18,533,25.2,0.555,£3.83bn,Europe
Ligue 1,France,20,589,24.9,0.514,£3.30bn,Europe
Liga Bwin,Portugal,18,530,25.1,0.575,£1.11bn,Europe
Premier Liga,Russia,16,399,26.2,0.321,£897.59m,Europe
Eredivisie,Netherlands,18,459,24.3,0.462,£873.81m,Europe
Süper Lig,Turkey,20,634,26.5,0.437,£730.71m,Europe
Jupiler Pro League,Belgium,18,504,24.6,0.556,£684.09m,Europe
Premier Liga,Ukraine,16,406,25.4,0.192,£387.97m,Europe
Super League 1,Greece,14,467,26,0.499,£307.28m,Europe
Bundesliga,Austria,12,349,24.1,0.338,£269.66m,Europe
1.HNL,Croatia,10,345,24.4,0.391,£255.22m,Europe
Premiership,Scotland,12,305,25.9,0.466,£249.91m,Europe
Fortuna Liga,Czech Republic,16,442,25.8,0.231,£244.44m,Europe
Super League,Switzerland,10,294,24.6,0.571,£227.18m,Europe
Ekstraklasa,Poland,18,543,25.1,0.326,£207.83m,Europe
Superligaen,Denmark,12,328,24,0.387,£192.60m,Europe
Super liga Srbije,Serbia,16,489,24.2,0.157,£170.24m,Europe
Liga 1,Romania,16,507,25.5,0.282,£161.18m,Europe
Allsvenskan,Sweden,16,426,25.5,0.34,£159.10m,Europe
NB I.,Hungary,12,346,26,0.405,£121.34m,Europe
Eliteserien,Norway,16,407,25.1,0.256,£116.10m,Europe
Ligat ha'Al,Israel,14,423,25,0.196,£107.03m,Europe
Protathlima Cyta,Cyprus,12,367,26.2,0.583,£106.31m,Europe
efbet Liga,Bulgaria,14,354,25.3,0.282,£101.44m,Europe
Premier Liga,Kazakhstan,14,360,27.3,0.389,£97.43m,Europe
Vysheyshaya Liga,Belarus,16,392,25.4,0.281,£69.68m,Europe
Fortuna Liga,Slovakia,12,318,23.9,0.384,£63.53m,Europe
Prva Liga,Slovenia,10,267,24.5,0.33,£49.25m,Europe
Premyer Liqa,Azerbaijan,8,178,26.1,0.281,£42.51m,Europe
Premijer Liga,Bosnia and Herzegovina,12,308,24.9,0.26,£39.29m,Europe
Veikkausliiga,Finland,12,303,25.1,0.34,£34.65m,Europe
Bardzragujn khumb,Armenia,10,258,25,0.457,£33.91m,Europe
Kategoria Superiore,Albania,10,267,24.4,0.333,£32.02m,Europe
Crystalbet Erovnuli Liga,Georgia,10,236,25.6,0.169,£30.77m,Europe
Premier League,Malta,12,292,26.5,0.411,£30.74m,Europe
Prva liga,North Macedonia,12,267,25,0.184,£29.83m,Europe
