rank,nation,squad_size,average_age,total_value_pounds,confederation,points
1,Belgium,26,29.2,£601.56m,UEFA,1783
2,France,26,28,£925.20m,UEFA,1757
3,Brazil,25,27.5,£826.20m,CONMEBOL,1743
4,England,26,25.4,£1.16bn,UEFA,1687
5,Portugal,26,27.9,£747.45m,UEFA,1666
6,Spain,24,26.7,£839.70m,UEFA,1648
7,Italy,26,27.9,£695.70m,UEFA,1642
8,Argentina,28,27.7,£598.95m,CONMEBOL,1642
9,Uruguay,26,27.5,£340.56m,CONMEBOL,1639
10,Denmark,26,27.9,£297.63m,UEFA,1632
11,Mexico,23,28.1,£117.54m,CONCACAF,1630
12,Germany,25,27.6,£806.85m,UEFA,1609
13,Switzerland,25,26.9,£258.75m,UEFA,1606
14,Croatia,26,28,£339.12m,UEFA,1606
15,Colombia,28,28.2,£264.42m,CONMEBOL,1601
16,Netherlands,25,27.5,£546.35m,UEFA,1598
17,Wales,27,25.7,£159.35m,UEFA,1570
18,Sweden,23,28.5,£191.75m,UEFA,1570
19,Chile,29,27.4,£82.06m,CONMEBOL,1570
20,United States,23,24.6,£62.60m,CONCACAF,1555
21,Poland,25,27.2,£229.32m,UEFA,1550
22,Senegal,20,27.6,£269.10m,CAF,1542
23,Austria,26,28,£289.17m,UEFA,1523
24,Ukraine,26,26.6,£189.63m,UEFA,1515
25,Serbia,20,24.7,£89.19m,UEFA,1513
26  ,Tunisia,29,26.1,£53.10m,CAF,1513
27  ,Peru,26,27.8,£57.85m,CONMEBOL,1512
28  ,Japan,37,27.3,£131.31m,AFC,1509
29  ,Turkey,26,25.1,£292.50m,UEFA,1505
30  ,Venezuela,33,26,£67.14m,CONMEBOL,1501
31  ,Iran,29,27.9,£71.75m,AFC,1500
32  ,Nigeria,25,22.8,£270Th.,CAF,1487
33  ,Algeria,31,28.8,£175.01m,CAF,1487
34  ,Morocco,26,27.2,£214.65m,CAF,1479
35  ,Paraguay,28,27.4,£100.17m,CONMEBOL,1476
36  ,Slovakia,26,28.4,£117.99m,UEFA,1475
37  ,Hungary,26,28.3,£71.37m,UEFA,1469
38  ,Russia,26,28,£172.62m,UEFA,1463
39  ,South Korea,27,28.5,£115.92m,AFC,1460
40  ,Czech Republic,25,27.4,£171.45m,UEFA,1459
41  ,Australia,31,28.3,£35.64m,AFC,1457
42  ,Norway,24,25.6,£247.41m,UEFA,1452
43  ,Romania,25,27.4,£64.58m,UEFA,1449
44  ,Scotland,26,27.5,£243.00m,UEFA,1441
45  ,Jamaica,23,27.8,£63.81m,CONCACAF,1433
46  ,Egypt,27,28.5,£135.86m,CAF,1433
47  ,Republic of Ireland,26,25.6,£64.33m,UEFA,1427
48  ,Northern Ireland,25,25.6,£21.56m,UEFA,1426
49  ,Ghana,35,25.3,£106.43m,CAF,1425
50  ,Costa Rica,23,29.1,£12.65m,CONCACAF,1423
51,Greece,24,27,£85.01m,UEFA,1419
52,Iceland,24,24.9,£19.42m,UEFA,1416
53,Ecuador,29,26.9,£69.44m,CONMEBOL,1413
54,Finland,26,28.2,£40.19m,UEFA,1411
55,Cameroon,26,26.2,£81.14m,CAF,1405
55,Bosnia and Herzegovina,22,25.8,£66.65m,UEFA,1405
57,Mali,25,25.2,£47.66m,CAF,1401
58,Qatar,23,26.7,£14.45m,AFC,1398
59,Ivory Coast,26,28.5,£269.89m,CAF,1398
60,Burkina Faso,28,26.6,£72.52m,CAF,1393
61,Democratic Republic of Congo,33,27.7,£44.48m,CAF,1377
